candidate_pair_id,candidate_generation_method,strict_comparison_key,left_raw_jockey_label,right_raw_jockey_label,pair_label_structure,temporal_relationship,gap_days,overlap_days,left_runner_rows,right_runner_rows,combined_runner_rows,same_race_collisions,shared_horse_count,shared_horses,shared_trainer_count,shared_trainers,context_candidate_status,review_priority,review_reason,identity_relationship,left_verified_person_name,right_verified_person_name,verification_status,verification_id,evidence_type,evidence_locator,evidence_accessed_date,confidence,review_notes,database_action,review_scope_status,review_trigger,review_scope_reason
JOCKEY-STRICT-0011,observed_leading_title_removed_exact_match,maryline eon,Mlle Maryline Eon,Mme Maryline Eon,two_title_bearing_labels,observed_periods_separate,5,0,551,249,800,0,15,Antharis (GB) | Cream Ice (GB) | Great Charlie (FR) | Ippling (FR) | Kamaro DHuez (FR) | Lou Balicot (FR) | Madras (IRE) | Marshall Lessing (FR) | Nordeste (FR) | Plateado (FR) | Prince Des Dunes (FR) | Uchronie (FR) | Vote For Pedro (FR) | Zeyzoun (FR) | Zippere (FR),31,A & G Botti | A Baron | A Sanchez-Martin | Adrien Fouassier | Alain Couetil | B Audouin | B Legros | C Blin | C Lotoux | C Plisson | D Chenu | D De Watrigant | Edouard Monfort | F Vermeulen | Francois Monfort | Gavin Hernon | H-F Devin | Hiroo Shimizu | J Boisnard | J Bourgeais | M Alonso Roldan | M Brasme | M Delcher Sanchez | M Nigge | Maurizio Guarnieri | Mme C Barande-Barbe | Mme S Gavilan | N Bellanger | N Caullery | S Caceres | Simone Brogi,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0012,observed_leading_title_removed_exact_match,freddie gordon,Freddie Gordon,Mr Freddie Gordon,title_bearing_and_untitled,observed_periods_separate,33,0,394,95,489,0,15,Annual Invictus (IRE) | Baddesley (IRE) | Bentleys Return (IRE) | Blame The Game (IRE) | Coolvalla (IRE) | Id Like To Know (IRE) | Invictus De Brion (FR) | Kayf Legend (GB) | Press Your Luck (IRE) | Ramore Will (IRE) | Red Windsor (IRE) | Sami Bear (GB) | Stanley Pincombe (IRE) | Unanswered Prayers (IRE) | Who Is That (IRE),1,Chris Gordon,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0013,observed_leading_title_removed_exact_match,alex chadwick,Alex Chadwick,Mr Alex Chadwick,title_bearing_and_untitled,observed_periods_separate,11,0,99,266,365,0,14,Big Bert (IRE) | East Street (IRE) | Enthused (IRE) | Escapologist (FR) | Forget The Way (GB) | Honneur dAjonc (FR) | Jackpot Cash (FR) | Laser Focus (IRE) | Mermaids Cave (IRE) | My Gift To You (IRE) | Nazare (FR) | One Big Bang (IRE) | Snapius (IRE) | Tara Iti (GB),1,James Owen,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0014,observed_leading_title_removed_exact_match,lea bails,Mlle Lea Bails,Mme Lea Bails,two_title_bearing_labels,observed_periods_separate,13,0,757,190,947,0,13,Armorigene (FR) | Black Cess (FR) | Caly Rosay (FR) | Dieppe (FR) | Fayona (FR) | Gofast (FR) | Got Frost (FR) | Mystery Train (FR) | Namar (IRE) | Ravens Spirit (FR) | Saam (FR) | Um Elnadim (FR) | Zygfryd (FR),15,F-X Belvisi | G Collet | H Blume | I Endaltsev | Jeremy Da Silva | M Boutin | Mme M Bollack-Badel | Mme N Verheyen | N Caullery | Rosine Bouckhuyt | S Gouyette | S Jesus | S Labate | U Schwinn | X-L Le Stang,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0015,observed_leading_title_removed_exact_match,toby wynne,Mr Toby Wynne,Toby Wynne,title_bearing_and_untitled,observed_periods_overlap,0,33,66,708,774,0,13,Dieu Vivant (FR) | Dragonfruit (GB) | Duke Of Deception (IRE) | Ecossais (FR) | Gesskille (FR) | Gouet Des Bruyeres (FR) | Herbiers (FR) | Homme Public (FR) | Lucky Lover Boy (IRE) | Oceans Red (GB) | The Wild Wild Sea (GB) | Torino (IRE) | Tre A Peni (GB),6,Danny Brooke | Oliver Greenall & Josh Guerriero | Robbie Llewellyn | Robert Bevis | Sam Allwood | Sam England,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0016,observed_leading_title_removed_exact_match,tom broughton,Mr Tom Broughton,Tom Broughton,title_bearing_and_untitled,observed_periods_separate,50,0,183,259,442,0,13,Ahanaglogh (IRE) | Billams Legacy (GB) | Cheltenam De Vaige (FR) | Chief Black Robe (IRE) | Crosspark (GB) | Dexperado (FR) | Diamond Koda (IRE) | Dunworley (IRE) | Fine Investment (GB) | Geordie Night (GB) | Mix Of Clover (GB) | Oscar Robertson (IRE) | Tintintin (FR),5,Fergal OBrien | Max Comley | Nick Kent | Olly Williams | Richard Hobson,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0017,observed_leading_title_removed_exact_match,toby mccain-mitchell,Mr Toby McCain-Mitchell,Toby McCain-Mitchell,title_bearing_and_untitled,observed_periods_overlap,0,33,91,212,303,0,11,As Tears Go By (GB) | Ballyvaughan Bay (IRE) | Beauport (IRE) | Fine By Me (IRE) | Lively Citizen (IRE) | Our Bills Aunt (IRE) | Safe Destination (GB) | Slievegar (GB) | The Newest One (IRE) | Touchwoodexpress (IRE) | Unblinking (GB),10,Alex Hales | Charlie Longsdon | D J Jeffreys | Donald McCain | Jane Williams | Keiran Burke | Max Comley | Nigel & Willy Twiston-Davies | Noel Williams | Robert Bevis,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0018,observed_leading_title_removed_exact_match,sophie chuette,Mlle Sophie Chuette,Mme Sophie Chuette,two_title_bearing_labels,observed_periods_separate,14,0,304,154,458,0,11,Etchecoanderea (FR) | Furi De La Houssay (FR) | La Templiere (FR) | Ladybug (IRE) | Mandleft (FR) | Mi CInfilo (FR) | Rock Blanc (FR) | Screen Shot (FR) | Sweetest Thing (FR) | The Charmer (FR) | Woff (GER),9,C Plisson | Emilien Mollot | Gregoire Juillet | Kevin Plisson | M Boutin | M Delcher Sanchez | M Delzangles | S Morineau | Yoann Bonnefoy,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0019,observed_leading_title_removed_exact_match,alison massin,Mlle Alison Massin,Mme Alison Massin,two_title_bearing_labels,observed_periods_separate,6,0,952,101,1053,0,9,Best Of Light (FR) | Day Trader (FR) | Gabija (FR) | Hasapiko (FR) | Korem (FR) | Magic Vati (FR) | Planthalya (FR) | Ruudje (FR) | Villa Celina (FR),17,A S & D Allard | C & Y Lerner | C Plisson | Edouard Thueux | F-X De Chevigny | G Doleuze | G Pannier | H De Nicolay | Julien Phelippon | M Nigge | Mme P Butel & J-L Beaunez | N Clement | S Cerulis | S Gouyette | S Morineau | S Wattel | Y Barberot,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0020,observed_leading_title_removed_exact_match,alan osullivan,Alan OSullivan,Mr Alan OSullivan,title_bearing_and_untitled,observed_periods_separate,1,0,37,272,309,0,9,Divaboriva (IRE) | Harbour Highway (IRE) | Jisco Du Brem (FR) | Lisleigh Lad (IRE) | Midleton Rare (IRE) | Muckanagh Lough (IRE) | Robbie Diamonds (IRE) | Themanintheanorak (IRE) | Uptaurintop (IRE),13,Emmet Mullins | Eugene M OSullivan | Gordon Elliott | Ian Patrick Donoghue | Jonathan Sweeney | Michael Barry | Miss Hilary McLoughlin | Ms Eleanor Broderick | P A Fahy | Patrick T Foley | Paul OFlynn | Terence OBrien | W J Burke,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
JOCKEY-STRICT-0021,observed_leading_title_removed_exact_match,freddie keighley,Freddie Keighley,Mr Freddie Keighley,title_bearing_and_untitled,observed_periods_separate,44,0,162,22,184,0,9,Back On The Lash (GB) | Continuance (GB) | Don Rafael (IRE) | Hot Goddess (IRE) | Osterberg (IRE) | Pike Road (GB) | Prairie Diamond (IRE) | Redbridge Rambler (IRE) | She Has Notions (IRE),4,Claire Dyson | Martin Keighley | Oliver Greenall & Josh Guerriero | Ryan Potter,shared_horse,2,labels share one or more exact raw horse labels,unresolved,,,not_started,,,,,,,preserve_raw_unresolved,deferred_until_material_use,specific_analysis_or_material_identity_risk,Strict normalisation generated an identity candidate only. Comprehensive external resolution is disproportionate without a specific analytical need. Preserve both raw labels and leave the relationship unresolved.
