candidate_course_label,candidate_jurisdiction,provisional_races,official_venue_name,street_address,locality,region,postal_code,country,latitude,longitude,iana_timezone,venue_status,former_or_alternative_name,manual_review_confidence,manual_review_note,source_urls
Prairie Meadows,United States,22,Prairie Meadows Racetrack & Casino,1 Prairie Meadows Drive,Altoona,Iowa,50009,United States,,,America/Chicago,active,,high,Exact venue.,https://www.prairiemeadows.com/racing
Launceston,Australia,21,Tasmanian Turf Club at Mowbray Racecourse,55 Racecourse Crescent,Mowbray,Tasmania,7248,Australia,,,Australia/Hobart,active,Mowbray Racecourse,high,Correct racing venue; earlier tennis/sports results were false positives.,https://tasracing.com.au/venues/mowbray
Sunshine Coast,Australia,21,Sunshine Coast Turf Club,170 Pierce Avenue,Caloundra,Queensland,4551,Australia,,,Australia/Brisbane,active,Corbould Park Racecourse,high,Exact venue at Corbould Park.,https://www.sctc.com.au/
Canberra,Australia,18,Canberra Racecourse,1 Randwick Road,Lyneham,Australian Capital Territory,2602,Australia,,,Australia/Sydney,active,Thoroughbred Park,high,Exact Canberra Racing Club venue.,https://thoroughbredpark.com.au/
Mountaineer Park,United States,18,"Mountaineer Casino, Racetrack & Resort",1420 Mountaineer Circle,New Cumberland,West Virginia,26047,United States,,,America/New_York,active,,high,Exact venue.,https://www.cnty.com/mountaineer/
Sam Houston,United States,18,Sam Houston Race Park,7575 North Sam Houston Parkway West,Houston,Texas,77064,United States,,,America/Chicago,active,,high,Exact venue.,https://www.shrp.com/
Scone,Australia,14,Scone Race Club,434 Bunnan Road,Scone,New South Wales,2337,Australia,,,Australia/Sydney,active,Scone Racecourse,high,Exact venue.,https://sconeraceclub.com.au/
Penn National,United States,13,Hollywood Casino at Penn National Race Course,777 Hollywood Boulevard,Grantville,Pennsylvania,17028,United States,,,America/New_York,active,Penn National Race Course,high,Current official name; source uses shortened historic name.,https://www.hollywoodpnrc.com/racing
Percy Warner Park,United States,13,Iroquois Steeplechase at Percy Warner Park,2500 Old Hickory Boulevard,Nashville,Tennessee,37221,United States,,,America/Chicago,active,Iroquois Steeplechase,medium,Annual steeplechase course within Percy Warner Park.,https://www.iroquoissteeplechase.org/
Gulfstream Park West,United States,12,Calder Race Course,21001 Northwest 27th Avenue,Miami Gardens,Florida,33056,United States,,,America/New_York,closed,Gulfstream Park West,high,Former Calder venue operated as Gulfstream Park West; racing ceased.,https://en.wikipedia.org/wiki/Calder_Race_Course
Delta downs,United States,10,Delta Downs Racetrack Casino Hotel,2717 Delta Downs Drive,Vinton,Louisiana,70668,United States,,,America/Chicago,active,Delta Downs,high,Source capitalization normalized.,https://www.deltadownsracing.com/
Thistledown,United States,10,MGM Northfield Park at Thistledown,21501 Emery Road,North Randall,Ohio,44128,United States,,,America/New_York,active,Thistledown Racino,high,Current branded venue; historic racecourse name retained.,https://mgmnorthfieldpark.mgmresorts.com/en/race-track.html
Presque Isle Downs,United States,9,Presque Isle Downs & Casino,8199 Perry Highway,Erie,Pennsylvania,16509,United States,,,America/New_York,active,,high,Exact venue.,https://www.presqueisledowns.com/racing
Northam,Australia,6,Northam Race Club,175 Yilgarn Avenue,Northam,Western Australia,6401,Australia,,,Australia/Perth,active,Northam Racecourse,medium,Venue and locality clear; street address should be checked against club correspondence before postal use.,https://www.northamraceclub.com/
Belterra Park,United States,6,Belterra Park Cincinnati,6301 Kellogg Avenue,Cincinnati,Ohio,45230,United States,,,America/New_York,active,River Downs,high,Current venue name; formerly River Downs.,https://www.belterrapark.com/racing
Hawthorne,United States,6,Hawthorne Race Course,3501 South Laramie Avenue,Cicero,Illinois,60804,United States,,,America/Chicago,active,,high,Exact venue.,https://www.hawthorneracecourse.com/
Albury,Australia,4,Albury Racing Club,46 Fallon Street,North Albury,New South Wales,2640,Australia,,,Australia/Sydney,active,Albury Racecourse,high,Exact venue.,https://alburyracing.com.au/
Echuca,Australia,4,Echuca Racing Club,55 Scott Road,Echuca,Victoria,3564,Australia,,,Australia/Melbourne,active,Echuca Racecourse,high,Exact venue.,https://country.racing.com/echuca
Wellington,Australia,4,Wellington Race Club,Showground Road,Wellington,New South Wales,2820,Australia,,,Australia/Sydney,active,Wellington Racecourse,medium,Racecourse is associated with the Wellington showground precinct.,https://www.racingnsw.com.au/clubs/wellington-jockey-club/
Northlands park,Canada,4,Northlands Park,7410 Borden Park Road Northwest,Edmonton,Alberta,T5B 4W9,Canada,,,America/Edmonton,closed,Northlands Park Racetrack & Casino,high,Venue closed; location retained for historic races.,https://en.wikipedia.org/wiki/Northlands_Park
Louisiana Downs,United States,4,Louisiana Downs Casino & Racetrack,8000 East Texas Street,Bossier City,Louisiana,71111,United States,,,America/Chicago,active,,high,Exact venue.,https://ladowns.com/
Camden (South Carolina),United States,3,Springdale Race Course,200 Knights Hill Road,Camden,South Carolina,29020,United States,,,America/New_York,active,Camden Race Course,medium,National Steeplechase Association venue at Springdale.,https://www.carolinacup.org/
Great Meadow,United States,3,Great Meadow,5089 Old Tavern Road,The Plains,Virginia,20198,United States,,,America/New_York,active,Virginia Gold Cup course,high,Exact event venue.,https://greatmeadow.org/
Ballarat,Australia,2,Ballarat Turf Club,240 Kennedys Road,Miners Rest,Victoria,3352,Australia,,,Australia/Melbourne,active,Sportsbet-Ballarat,high,Correct racecourse; earlier kart-club result was a false positive.,https://country.racing.com/ballarat
Kyneton,Australia,2,Kyneton & Hanging Rock Racing Club,44 Campaspe Place,Kyneton,Victoria,3444,Australia,,,Australia/Melbourne,active,Kyneton Racecourse,medium,Venue identity and timezone clear; street number should be checked before postal use.,https://country.racing.com/kyneton-hanging-rock
Mahoning Valley,United States,2,Hollywood Gaming at Mahoning Valley Race Course,655 North Canfield Niles Road,Youngstown,Ohio,44515,United States,,,America/New_York,active,,high,Exact venue.,https://www.hollywoodmahoningvalley.com/racing
Zia park,United States,2,Zia Park Casino Hotel & Racetrack,3901 West Millen Drive,Hobbs,New Mexico,88240,United States,,,America/Denver,active,Zia Park,high,Source capitalization normalized.,https://www.ziaparkcasino.com/racing
Alice springs,Australia,1,Alice Springs Turf Club,55 Pioneer Drive,Alice Springs,Northern Territory,0870,Australia,,,Australia/Darwin,active,Ladbrokes Pioneer Park,high,Source capitalization normalized.,https://www.alicespringsturfclub.org.au/
Gundagai,Australia,1,Gundagai-Adelong Racing Club,,Gundagai,New South Wales,2722,Australia,,,Australia/Sydney,active,Gundagai Racecourse,medium,Venue and timezone clear; exact postal street left blank pending confirmation.,https://www.racingnsw.com.au/clubs/gundagai-adelong-racing-club/
Morphettville Parks,Australia,1,Morphettville Racecourse - Parks Track,79 Morphett Road,Morphettville,South Australia,5043,Australia,,,Australia/Adelaide,active,The Parks,high,Secondary course at the Morphettville complex.,https://morphettville.com.au/
Pinjara Park Course,Australia,1,Pinjarra Park Racecourse,175 Racecourse Road,Pinjarra,Western Australia,6208,Australia,,,Australia/Perth,active,Pinjarra Park; source misspelling 'Pinjara',high,Source label contains a spelling variant.,https://www.pinjarrapark.com.au/
Sale,Australia,1,Sale Turf Club,Maffra-Sale Road,Sale,Victoria,3850,Australia,,,Australia/Melbourne,active,Sale Racecourse,medium,Venue identity and timezone clear; street number not confirmed.,https://country.racing.com/sale
Toowoomba,Australia,1,Clifford Park Racecourse,Hursley Road,Newtown,Queensland,4350,Australia,,,Australia/Brisbane,active,Toowoomba Turf Club,high,Exact venue.,https://www.cliffordpark.com.au/
Wagga Wagga,Australia,1,Murrumbidgee Turf Club,2 Travers Street,Wagga Wagga,New South Wales,2650,Australia,,,Australia/Sydney,active,Wagga Racecourse,high,Exact venue.,https://mtcwagga.com.au/
Fort Erie,Canada,1,Fort Erie Race Track,230 Catherine Street,Fort Erie,Ontario,L2A 5N9,Canada,,,America/Toronto,active,,high,Exact venue.,https://www.forterieracing.com/
Middleburg,United States,1,Glenwood Park,,Middleburg,Virginia,20117,United States,,,America/New_York,active,Middleburg Spring Races course,medium,Steeplechase venue; exact postal street left blank pending confirmation.,https://middleburgspringraces.com/
Montpelier,United States,1,Montpelier Hunt Races at James Madison's Montpelier,11350 Constitution Highway,Montpelier Station,Virginia,22957,United States,,,America/New_York,active,Montpelier Hunt Races,high,Exact historic-estate venue.,https://www.montpelierraces.org/
Pine Mountain,United States,1,Callaway Gardens Steeplechase course,17800 US Highway 27,Pine Mountain,Georgia,31822,United States,,,America/New_York,historical_or_uncertain,Pine Mountain steeplechase,low,Likely historical meeting at Callaway Gardens; requires race-date/source confirmation before treating as exact venue.,https://en.wikipedia.org/wiki/Callaway_Resort_%26_Gardens
Retama Park,United States,1,Retama Park,1 Retama Parkway,Selma,Texas,78154,United States,,,America/Chicago,active,,high,Exact venue.,https://www.retamapark.com/
